game_id,target_property,sampling_hypothesis,distance_group,distance,success,guess_count,turns_to_solution,total_turns,max_turns_reached,positive_testing_queries,negative_testing_queries,unlabeled_test_queries,total_test_queries,positive_testing_bias,filtered_positive_testing_queries,filtered_negative_testing_queries,filtered_labeled_test_queries,filtered_positive_testing_bias,conclusive_falsification_turns,evaluable_conclusive_falsification_turns,conclusive_falsification_rate
9616,body_part,sense_organ,close,3,False,4,,20,True,7,9,0,16,0.4375,6,8,14,0.42857142857142855,4,16,0.25
16467,plant,conifer,deep,6,True,4,13,13,False,2,7,0,9,0.2222222222222222,2,6,8,0.25,5,9,0.5555555555555556
11199,food,pie,close,4,False,2,,20,True,1,17,0,18,0.05555555555555555,1,13,14,0.07142857142857142,16,18,0.8888888888888888
16120,plant,woody_plant,close,3,False,3,,20,True,10,7,0,17,0.5882352941176471,6,3,9,0.6666666666666666,5,17,0.29411764705882354
1154,animal,aquatic_vertebrate,close,4,True,4,14,14,False,2,8,0,10,0.2,1,5,6,0.16666666666666666,7,10,0.7
62,animal,vertebrate,close,3,True,1,9,9,False,0,8,0,8,0.0,0,8,8,0.0,7,8,0.875
16152,plant,conifer,deep,6,True,3,9,9,False,2,4,0,6,0.3333333333333333,1,4,5,0.2,5,6,0.8333333333333334
9624,body_part,sense_organ,close,3,False,3,,17,False,5,9,0,14,0.35714285714285715,5,8,13,0.38461538461538464,5,14,0.35714285714285715
4779,artifact,electrical_device,close,4,False,2,,13,False,1,10,0,11,0.09090909090909091,1,4,5,0.2,7,11,0.6363636363636364
17775,plant,angiosperm,close,4,False,4,,20,True,2,14,0,16,0.125,2,12,14,0.14285714285714285,9,16,0.5625
4032,body_part,internal_organ,close,3,True,2,8,8,False,1,5,0,6,0.16666666666666666,1,5,6,0.16666666666666666,5,6,0.8333333333333334
15613,plant,tree,close,4,False,2,,20,True,6,12,0,18,0.3333333333333333,0,0,0,0,7,18,0.3888888888888889
4784,artifact,electrical_device,close,4,False,6,,20,True,1,13,0,14,0.07142857142857142,0,4,4,0.0,10,14,0.7142857142857143
6359,artifact,bag,close,4,False,6,,20,True,5,9,0,14,0.35714285714285715,4,8,12,0.3333333333333333,9,14,0.6428571428571429
9457,body_part,muscle,close,4,True,4,14,14,False,1,9,0,10,0.1,1,7,8,0.125,5,10,0.5
10529,food,sugar,deep,6,True,5,20,20,False,4,11,0,15,0.26666666666666666,3,8,11,0.2727272727272727,8,15,0.5333333333333333
6575,artifact,ship,deep,7,False,4,,20,True,4,12,0,16,0.25,3,11,14,0.21428571428571427,8,16,0.5
3411,animal,New_World_warbler,deep,8,True,2,12,12,False,1,9,0,10,0.1,1,5,6,0.16666666666666666,6,10,0.6
15245,plant,cycad,deep,5,False,7,,20,True,5,8,0,13,0.38461538461538464,3,4,7,0.42857142857142855,7,13,0.5384615384615384
10986,food,ice_cream,deep,6,True,2,6,6,False,1,3,0,4,0.25,1,3,4,0.25,4,4,1.0
4368,body_part,bone,deep,5,False,8,,20,True,2,10,0,12,0.16666666666666666,2,10,12,0.16666666666666666,7,12,0.5833333333333334
11263,food,pie,close,4,False,4,,20,True,5,11,0,16,0.3125,4,11,15,0.26666666666666666,8,16,0.5
16864,plant,tree,close,4,True,3,13,13,False,1,9,0,10,0.1,0,8,8,0.0,8,10,0.8
17361,plant,magnolia,deep,6,True,5,11,11,False,0,6,0,6,0.0,0,4,4,0.0,4,6,0.6666666666666666
1551,body_part,bone,deep,5,False,4,,20,True,8,8,0,16,0.5,7,6,13,0.5384615384615384,6,16,0.375
16096,plant,conifer,deep,6,True,3,13,13,False,2,8,0,10,0.2,1,7,8,0.125,6,10,0.6
9650,body_part,mucous_membrane,deep,5,False,3,,10,False,2,5,0,7,0.2857142857142857,2,3,5,0.4,4,7,0.5714285714285714
4313,body_part,bone,deep,5,False,2,,20,True,7,11,0,18,0.3888888888888889,0,0,0,0,3,18,0.16666666666666666
17047,plant,woody_plant,close,3,True,1,6,6,False,1,4,0,5,0.2,1,3,4,0.25,4,5,0.8
11006,food,dessert,close,4,True,4,13,13,False,4,5,0,9,0.4444444444444444,4,3,7,0.5714285714285714,5,9,0.5555555555555556
9433,body_part,muscle,close,4,True,1,3,3,False,1,1,0,2,0.5,1,1,2,0.5,1,2,0.5
15508,plant,woody_plant,close,3,True,1,6,6,False,1,4,0,5,0.2,0,2,2,0.0,3,5,0.6
1261,animal,vertebrate,close,3,True,1,6,6,False,0,5,0,5,0.0,0,4,4,0.0,4,5,0.8
11459,food,conserve,deep,6,True,1,5,5,False,0,4,0,4,0.0,0,4,4,0.0,3,4,0.75
11921,food,bread,close,4,True,2,5,5,False,0,3,0,3,0.0,0,2,2,0.0,2,3,0.6666666666666666
15790,plant,fir,deep,7,True,4,13,13,False,1,8,0,9,0.1111111111111111,1,6,7,0.14285714285714285,8,9,0.8888888888888888
11384,food,cake,close,3,False,4,,20,True,1,15,0,16,0.0625,0,6,6,0.0,7,16,0.4375
6380,artifact,container,close,3,False,4,,13,False,3,6,0,9,0.3333333333333333,1,0,1,1.0,5,9,0.5555555555555556
6606,artifact,warship,deep,8,True,11,19,19,False,2,6,0,8,0.25,2,6,8,0.25,4,8,0.5
11016,food,ice_cream,deep,6,False,1,,20,True,3,16,0,19,0.15789473684210525,3,12,15,0.2,11,19,0.5789473684210527
1725,animal,shark,deep,8,False,6,,20,True,4,10,0,14,0.2857142857142857,1,7,8,0.125,7,14,0.5
1066,animal,aquatic_vertebrate,close,4,True,4,19,19,False,3,12,0,15,0.2,2,8,10,0.2,9,15,0.6
6543,artifact,ship,deep,7,False,4,,20,True,3,13,0,16,0.1875,3,11,14,0.21428571428571427,8,16,0.5
11697,food,beefsteak,deep,5,True,2,10,10,False,1,7,0,8,0.125,0,6,6,0.0,6,8,0.75
5807,artifact,cutting_implement,deep,5,False,4,,20,True,6,10,0,16,0.375,6,10,16,0.375,9,16,0.5625
9949,body_part,artery,deep,6,False,12,,20,True,1,7,0,8,0.125,1,5,6,0.16666666666666666,5,8,0.625
17257,plant,woody_plant,close,3,True,1,6,6,False,1,4,0,5,0.2,0,4,4,0.0,4,5,0.8
1136,animal,bony_fish,deep,6,False,3,,20,True,5,12,0,17,0.29411764705882354,2,8,10,0.2,8,17,0.47058823529411764
12016,food,bread,close,4,True,3,15,15,False,4,8,0,12,0.3333333333333333,4,4,8,0.5,8,12,0.6666666666666666
