model,game_id,success,distance_group,annotated_test_turns,linguistic_shift_present,disjoint_proportion,partial_overlap_proportion
openai_gpt-oss-120b,9616,False,close,16,False,0.0,0.0
openai_gpt-oss-120b,16467,True,deep,11,False,0.0,0.0
openai_gpt-oss-120b,11199,False,close,18,True,0.0,0.05555555555555555
openai_gpt-oss-120b,16120,False,close,16,True,0.1875,0.0625
openai_gpt-oss-120b,1154,False,close,15,True,0.06666666666666667,0.5333333333333333
openai_gpt-oss-120b,62,True,close,6,True,0.0,0.3333333333333333
openai_gpt-oss-120b,16152,True,deep,5,False,0.0,0.0
openai_gpt-oss-120b,9624,True,close,6,False,0.0,0.16666666666666666
openai_gpt-oss-120b,4779,False,close,15,False,0.0,0.26666666666666666
openai_gpt-oss-120b,17775,False,close,16,True,0.125,0.0
openai_gpt-oss-120b,4032,True,close,5,False,0.0,0.0
openai_gpt-oss-120b,15613,False,close,15,True,0.06666666666666667,0.8666666666666667
openai_gpt-oss-120b,4784,False,close,15,False,0.0,0.6666666666666666
openai_gpt-oss-120b,6359,False,close,18,True,0.0,0.4444444444444444
openai_gpt-oss-120b,9457,True,close,5,False,0.0,0.0
openai_gpt-oss-120b,10529,True,deep,5,True,0.0,0.0
openai_gpt-oss-120b,6575,False,deep,13,True,0.0,0.0
openai_gpt-oss-120b,3411,True,deep,6,True,0.0,0.0
openai_gpt-oss-120b,15245,True,deep,5,True,0.2,0.2
openai_gpt-oss-120b,10986,True,deep,4,False,0.0,0.0
openai_gpt-oss-120b,4368,True,deep,3,False,0.0,0.0
openai_gpt-oss-120b,11263,True,close,5,False,0.2,0.0
openai_gpt-oss-120b,16864,False,close,15,True,0.0,0.06666666666666667
openai_gpt-oss-120b,17361,True,deep,4,False,0.0,0.0
openai_gpt-oss-120b,1551,True,deep,1,False,0.0,0.0
openai_gpt-oss-120b,16096,True,deep,4,True,0.0,0.0
openai_gpt-oss-120b,9650,True,deep,4,False,0.0,0.0
openai_gpt-oss-120b,4313,False,deep,14,True,0.0,0.6428571428571429
openai_gpt-oss-120b,17047,True,close,5,True,0.0,0.0
openai_gpt-oss-120b,11006,True,close,4,False,0.0,0.0
